# stan_version_major = 2
# stan_version_minor = 39
# stan_version_patch = 0
# model = Static_Perception_Model_stan_model
# start_datetime = 2026-09-06 03:27:43 UTC
# method = sample (Default)
#   sample
#     num_samples = 300
#     num_warmup = 300
#     save_warmup = false (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.8 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = false (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 1 (Default)
# data
#   file = output/12_execute_output/static_perception/stan/simulation_data/Static_Perception_Model_stan_data.json
# init = 2 (Default)
# random
#   seed = 42
# output
#   file = /Users/hum/Documents/GitHub/HumOS/projects/outside_of_hum/GeneralizedNotationNotation/output/11_render_output/static_perception/stan/output/12_execute_output/static_perception/stan/simulation_data/cmdstan/Static_Perception_Model_stan-20260905202743.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = 8 (Default)
#   profile_file = profile.csv (Default)
#   save_cmdstan_config = false (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.39.0
# stancflags = --filename-in-msg=Static_Perception_Model_stan.stan
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,A_est.1.1,A_est.2.1,A_est.1.2,A_est.2.2,filtered_state.1.1,filtered_state.2.1,filtered_state.3.1,filtered_state.4.1,filtered_state.5.1,filtered_state.1.2,filtered_state.2.2,filtered_state.3.2,filtered_state.4.2,filtered_state.5.2,log_marginal
# Adaptation terminated
# Step size = 0.909874
# Diagonal elements of inverse mass matrix:
# 0.0637645, 0.175098
-22.804296,0.99619785,0.90987441,2,7,0,22.905657,0.78020555,0.11674058,0.21979445,0.88325942,0.19925995,0.66541663,0.11867646,0.97292693,0.019600412,0.80074005,0.33458337,0.88132354,0.027073068,0.98039959,-2.9117482
-22.785021,1,0.90987441,2,3,0,22.805885,0.77434272,0.12274149,0.22565728,0.87725851,0.20460064,0.65855406,0.12511264,0.97014035,0.020971697,0.79539936,0.34144594,0.87488736,0.029859648,0.9790283,-2.9170574
-23.845247,0.91349735,0.90987441,2,3,0,23.880501,0.66082228,0.090594912,0.33917772,0.90940509,0.27165016,0.75276013,0.12258648,0.97449085,0.028515492,0.72834984,0.24723987,0.87741352,0.025509154,0.97148451,-2.8112426
-23.192288,1,0.90987441,2,3,0,23.93959,0.72874716,0.090149567,0.27125284,0.90985043,0.22966056,0.73626324,0.10731605,0.97919427,0.021527364,0.77033944,0.26373676,0.89268395,0.02080573,0.97847264,-2.8143886
-23.078447,0.96228261,0.90987441,3,7,0,23.705319,0.83552677,0.11235037,0.16447323,0.88764963,0.15632511,0.63666631,0.10082156,0.97845018,0.013628742,0.84367489,0.36333369,0.89917844,0.021549822,0.98637126,-3.0006932
-23.063961,0.91604836,0.90987441,1,3,0,24.156903,0.77163134,0.1948928,0.22836866,0.8051072,0.22097145,0.56744447,0.18182706,0.93578529,0.033134092,0.77902855,0.43255553,0.81817294,0.064214715,0.96686591,-3.0686973
-23.04729,0.9979645,0.90987441,2,7,0,23.250045,0.73589088,0.17845887,0.26410912,0.82154113,0.24327275,0.60270393,0.18110864,0.93840917,0.036505739,0.75672725,0.39729607,0.81889136,0.061590833,0.96349426,-2.998272
-24.202324,0.89604682,0.90987441,2,3,0,24.494841,0.64833084,0.21276145,0.35166916,0.78723855,0.30877758,0.59785373,0.23833561,0.89444094,0.070424765,0.69122242,0.40214627,0.76166439,0.10555906,0.92957524,-3.0468157
-23.303705,0.9282205,0.90987441,2,3,0,24.763509,0.69716821,0.10312853,0.30283179,0.89687147,0.25242224,0.72162925,0.12669603,0.9717943,0.026791796,0.74757776,0.27837075,0.87330397,0.028205699,0.9732082,-2.8307937
-23.673582,0.8898342,0.90987441,2,3,0,24.444575,0.70970627,0.22532515,0.29029373,0.77467485,0.27258431,0.56897016,0.22598367,0.90273103,0.056390769,0.72741569,0.43102984,0.77401633,0.097268966,0.94360923,-3.0821446
-23.026962,0.97963274,0.90987441,3,7,0,23.951352,0.71540796,0.14293122,0.28459204,0.85706878,0.24927897,0.65426315,0.15805379,0.9546076,0.032117069,0.75072103,0.34573685,0.84194621,0.045392401,0.96788293,-2.9137604
-23.140901,0.98449787,0.90987441,1,1,0,23.147078,0.70264935,0.14777038,0.29735065,0.85222962,0.25866019,0.65216171,0.16588518,0.9502585,0.035239544,0.74133981,0.34783829,0.83411482,0.0497415,0.96476046,-2.919535
-24.646131,0.68769345,0.90987441,2,3,0,25.622371,0.65026535,0.059711197,0.34973465,0.9402888,0.2711072,0.81932908,0.091262742,0.98621183,0.024159755,0.7288928,0.18067092,0.90873726,0.01378817,0.97584024,-2.7584374
-23.179887,0.95701328,0.90987441,2,3,0,25.489957,0.7761707,0.080170806,0.2238293,0.91982919,0.19571341,0.73884772,0.088433329,0.98485467,0.016266991,0.80428659,0.26115228,0.91156667,0.015145331,0.98373301,-2.8325519
-23.07212,0.90430787,0.90987441,1,3,0,24.248307,0.79352857,0.19438047,0.20647143,0.80561953,0.20400482,0.55443399,0.1739277,0.9400607,0.028872016,0.79599518,0.44556601,0.8260723,0.059939299,0.97112798,-3.0988594
-23.67983,0.67157317,0.90987441,2,3,0,25.82825,0.70781174,0.07136038,0.29218826,0.92863962,0.23933616,0.7818296,0.093258763,0.98464831,0.020997686,0.76066384,0.2181704,0.90674124,0.015351691,0.97900231,-2.7712085
-23.627346,0.93733593,0.90987441,2,5,0,24.765235,0.87590721,0.13820197,0.12409279,0.86179803,0.12586869,0.55293448,0.1062971,0.97380235,0.011306833,0.87413131,0.44706552,0.8937029,0.02619765,0.98869317,-3.1752728
