Matrix: A
"Shape: (16, 16)"
Data type: float64

Col 0,Col 1,Col 2,Col 3,Col 4,Col 5,Col 6,Col 7,Col 8,Col 9,Col 10,Col 11,Col 12,Col 13,Col 14,Col 15
Row 0,0.90625,0.00625,0.00625,0.00625,0.00625,0.00625,0.00625,0.00625,0.00625,0.00625,0.00625,0.00625,0.00625,0.00625,0.00625,0.00625
Row 1,0.00625,0.90625,0.00625,0.00625,0.00625,0.00625,0.00625,0.00625,0.00625,0.00625,0.00625,0.00625,0.00625,0.00625,0.00625,0.00625
Row 2,0.00625,0.00625,0.90625,0.00625,0.00625,0.00625,0.00625,0.00625,0.00625,0.00625,0.00625,0.00625,0.00625,0.00625,0.00625,0.00625
Row 3,0.00625,0.00625,0.00625,0.90625,0.00625,0.00625,0.00625,0.00625,0.00625,0.00625,0.00625,0.00625,0.00625,0.00625,0.00625,0.00625
Row 4,0.00625,0.00625,0.00625,0.00625,0.90625,0.00625,0.00625,0.00625,0.00625,0.00625,0.00625,0.00625,0.00625,0.00625,0.00625,0.00625
Row 5,0.00625,0.00625,0.00625,0.00625,0.00625,0.90625,0.00625,0.00625,0.00625,0.00625,0.00625,0.00625,0.00625,0.00625,0.00625,0.00625
Row 6,0.00625,0.00625,0.00625,0.00625,0.00625,0.00625,0.90625,0.00625,0.00625,0.00625,0.00625,0.00625,0.00625,0.00625,0.00625,0.00625
Row 7,0.00625,0.00625,0.00625,0.00625,0.00625,0.00625,0.00625,0.90625,0.00625,0.00625,0.00625,0.00625,0.00625,0.00625,0.00625,0.00625
Row 8,0.00625,0.00625,0.00625,0.00625,0.00625,0.00625,0.00625,0.00625,0.90625,0.00625,0.00625,0.00625,0.00625,0.00625,0.00625,0.00625
Row 9,0.00625,0.00625,0.00625,0.00625,0.00625,0.00625,0.00625,0.00625,0.00625,0.90625,0.00625,0.00625,0.00625,0.00625,0.00625,0.00625
Row 10,0.00625,0.00625,0.00625,0.00625,0.00625,0.00625,0.00625,0.00625,0.00625,0.00625,0.90625,0.00625,0.00625,0.00625,0.00625,0.00625
Row 11,0.00625,0.00625,0.00625,0.00625,0.00625,0.00625,0.00625,0.00625,0.00625,0.00625,0.00625,0.90625,0.00625,0.00625,0.00625,0.00625
Row 12,0.00625,0.00625,0.00625,0.00625,0.00625,0.00625,0.00625,0.00625,0.00625,0.00625,0.00625,0.00625,0.90625,0.00625,0.00625,0.00625
Row 13,0.00625,0.00625,0.00625,0.00625,0.00625,0.00625,0.00625,0.00625,0.00625,0.00625,0.00625,0.00625,0.00625,0.90625,0.00625,0.00625
Row 14,0.00625,0.00625,0.00625,0.00625,0.00625,0.00625,0.00625,0.00625,0.00625,0.00625,0.00625,0.00625,0.00625,0.00625,0.90625,0.00625
Row 15,0.00625,0.00625,0.00625,0.00625,0.00625,0.00625,0.00625,0.00625,0.00625,0.00625,0.00625,0.00625,0.00625,0.00625,0.00625,0.90625
